model,input_size,augmentation,lr,train_frac,n_train,n_params,best_epoch,total_epochs,total_time_s,test_mae,test_rmse,test_r2
efficientnet_b0,128,True,0.0001,1.0,700,4008829,18,20,30.0,260.4062,357.2205,-0.775137
efficientnet_b0,224,False,0.0001,1.0,700,4008829,14,20,62.7,267.2692,363.1853,-0.834914
efficientnet_b0,224,True,0.0001,1.0,700,4008829,17,20,62.6,269.2813,367.0794,-0.874473
efficientnet_b0,320,False,0.0001,1.0,700,4008829,19,20,103.3,279.0696,375.9175,-0.965823
efficientnet_b0,320,True,0.0001,1.0,700,4008829,19,20,102.6,245.1414,348.6597,-0.691075
mobilenet_v3_small,128,False,0.0001,1.0,700,1518881,20,20,21.7,156.4072,211.3736,0.378472
mobilenet_v3_small,128,True,0.0001,1.0,700,1518881,16,20,21.7,155.7878,209.8318,0.387506
mobilenet_v3_small,224,False,0.0001,1.0,700,1518881,20,20,29.3,137.5552,191.0442,0.492277
mobilenet_v3_small,224,True,0.0001,1.0,700,1518881,19,20,30.2,138.9117,207.3873,0.401694
mobilenet_v3_small,320,False,0.0001,1.0,700,1518881,12,19,26.9,147.0885,208.2913,0.396467
mobilenet_v3_small,320,True,0.0001,1.0,700,1518881,18,20,31.2,154.1513,219.1445,0.331932
resnet18,128,False,0.01,0.25,175,11177025,12,19,8.0,144.9545,228.0105,0.276783
resnet18,128,True,0.01,0.25,175,11177025,10,17,7.2,152.4449,202.4732,0.429712
resnet18,224,False,0.01,0.25,175,11177025,10,17,13.2,153.2912,208.625,0.394531
resnet18,224,True,0.01,0.25,175,11177025,11,18,14.2,152.9323,211.4192,0.378204
resnet18,320,False,0.01,0.25,175,11177025,6,13,12.6,164.4047,231.0266,0.257523
resnet18,320,True,0.01,0.25,175,11177025,14,20,19.6,156.1577,213.0665,0.368476
efficientnet_b0,128,False,0.01,0.25,175,4008829,14,20,10.0,157.4011,220.6286,0.322853
efficientnet_b0,128,True,0.01,0.25,175,4008829,13,20,9.8,177.9886,238.4439,0.209082
efficientnet_b0,224,False,0.01,0.25,175,4008829,8,15,14.9,149.1629,222.7627,0.30969
efficientnet_b0,224,True,0.01,0.25,175,4008829,15,20,20.9,172.3577,224.4213,0.299372
efficientnet_b0,320,False,0.01,0.25,175,4008829,1,8,13.1,190.1917,237.3849,0.216091
efficientnet_b0,320,True,0.01,0.25,175,4008829,16,20,30.7,171.5996,226.2282,0.288045
mobilenet_v3_small,128,False,0.01,0.25,175,1518881,1,8,3.2,3475.3745,3812.543,-201.203522
mobilenet_v3_small,128,True,0.01,0.25,175,1518881,1,8,3.3,243.4622,327.159,-0.488939
mobilenet_v3_small,224,False,0.01,0.25,175,1518881,1,8,4.4,1466.9351,1655.5082,-37.126057
mobilenet_v3_small,224,True,0.01,0.25,175,1518881,1,8,4.4,3062.0703,3360.1428,-156.063278
mobilenet_v3_small,320,False,0.01,0.25,175,1518881,1,8,4.0,320.8772,408.3155,-1.319268
mobilenet_v3_small,320,True,0.01,0.25,175,1518881,1,8,4.1,511.9031,604.3922,-4.081557
resnet18,128,False,0.01,0.5,350,11177025,9,16,10.1,144.3005,206.1195,0.408986
resnet18,128,True,0.01,0.5,350,11177025,13,20,12.9,138.7574,207.3869,0.401696
resnet18,224,False,0.01,0.5,350,11177025,10,17,20.5,142.5624,201.0188,0.437875
resnet18,224,True,0.01,0.5,350,11177025,13,20,24.8,145.1966,206.4612,0.407026
resnet18,320,False,0.01,0.5,350,11177025,8,15,24.4,142.4489,201.4144,0.435661
resnet18,320,True,0.01,0.5,350,11177025,3,10,16.7,149.1095,221.9461,0.314742
efficientnet_b0,128,False,0.01,0.5,350,4008829,17,20,15.9,148.6568,203.1223,0.426049
efficientnet_b0,128,True,0.01,0.5,350,4008829,9,16,12.9,150.6928,206.1888,0.408589
efficientnet_b0,224,False,0.01,0.5,350,4008829,4,11,18.3,164.5412,226.8825,0.283921
efficientnet_b0,224,True,0.01,0.5,350,4008829,11,18,31.8,145.1766,210.4553,0.383861
efficientnet_b0,320,False,0.01,0.5,350,4008829,8,15,41.4,143.3777,193.4492,0.479413
efficientnet_b0,320,True,0.01,0.5,350,4008829,7,14,39.3,154.4107,214.2805,0.361259
mobilenet_v3_small,128,False,0.01,0.5,350,1518881,19,20,12.6,176.7807,259.1724,0.065591
mobilenet_v3_small,128,True,0.01,0.5,350,1518881,17,20,12.6,396.7285,487.9138,-2.311657
mobilenet_v3_small,224,False,0.01,0.5,350,1518881,1,8,7.0,2791.5042,2961.6394,-121.017914
mobilenet_v3_small,224,True,0.01,0.5,350,1518881,10,17,15.0,1334.3311,1506.2043,-30.559275
mobilenet_v3_small,320,False,0.01,0.5,350,1518881,1,8,6.5,1037.3229,1140.6821,-17.100412
mobilenet_v3_small,320,True,0.01,0.5,350,1518881,14,20,17.0,1135.3037,1188.0793,-18.63587
resnet18,128,False,0.01,0.75,525,11177025,13,20,18.0,129.8147,202.4881,0.429628
resnet18,128,True,0.01,0.75,525,11177025,13,20,18.1,144.449,214.5889,0.35942
resnet18,224,False,0.01,0.75,525,11177025,4,11,19.2,150.4388,209.7531,0.387966
resnet18,224,True,0.01,0.75,525,11177025,4,11,19.6,146.7701,205.8707,0.410413
resnet18,320,False,0.01,0.75,525,11177025,10,17,40.6,144.9043,196.8933,0.460712
resnet18,320,True,0.01,0.75,525,11177025,6,13,31.9,141.6279,209.4024,0.39001
efficientnet_b0,128,False,0.01,0.75,525,4008829,11,18,20.7,132.998,198.5002,0.451873
efficientnet_b0,128,True,0.01,0.75,525,4008829,19,20,23.1,144.7213,212.141,0.373951
efficientnet_b0,224,False,0.01,0.75,525,4008829,4,11,26.7,143.5488,200.1375,0.442793
efficientnet_b0,224,True,0.01,0.75,525,4008829,5,12,28.5,165.5968,215.5257,0.353814
efficientnet_b0,320,False,0.01,0.75,525,4008829,11,18,69.2,145.5862,211.2381,0.379269
